match_id,game_mode,account_id,moving_distance,create_time,skyler_ice_wall_destroy,booyah,pet_skill_id,damage,alok_heal_hP,icewall_use,hits,skill_ids,kills,ranking_score,vehicle_kill,medkit_use,bag_inv,vest_inv,revive_teammate_times,assists,weapon_usages,final,group_mode,avatar_id,chrono_block_damage,helmet_inv,revived_times,knock_down,match_mode,rescue_times,hp_added,icewall_destroyed_times,grenade_use,headshots,headshot_killtimes,nickname,map_id,shoots,skill_info,survival_time,team_name,killing_score,end_time,oil_kill,be_killed_time,is_win,item_nums,purchased_items,round_index,kill_times,is_dead,pet_skill_name,player_state,is_in_safe_zone,is_in_bomb_zone,revive_teammate_nums,knock_down_damage_info,skill_autoflightbomb_hit_num,skill_markicewall_damage,team_id
id1621985887171162112,1,1684050652,3817.584,1675546591,0,False,1315000012,978,0,8,28,"[3206, 2506, 5306, 3806]",0,0,0,1,403,309,1,0,"[{""weapon_id"": 1, ""shoots"": 1, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""FIST""}, {""weapon_id"": 48, ""shoots"": 21, ""hits"": 10, ""headshots"": 1, ""kills"": 0, ""damage"": 605, ""weapon_name"": ""M21A5""}, {""weapon_id"": 34, ""shoots"": 1, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""KATANA""}, {""weapon_id"": 50, ""shoots"": 32, ""hits"": 18, ""headshots"": 2, ""kills"": 0, ""damage"": 370, ""weapon_name"": ""MAG7""}]",True,3,102000020,20,306,0,2,3,0,422,0,0,3,0,19.Jota,3,53,"[{""skill_id"": 3806, ""active_count"": 1, ""skill_name"": ""Time Turner""}]",710,19ESPORT,1,1675546653,0,710,,,,,,,Dragon Glare,1,False,False,1,[],0,0,11
id1621985887171162112,1,1084829318,3178.0308,1675546591,0,False,1315000023,135,0,7,6,"[3206, 5706, 5306, 1906]",1,0,0,0,403,0,1,0,"[{""weapon_id"": 74, ""shoots"": 5, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""G36""}, {""weapon_id"": 48, ""shoots"": 4, ""hits"": 1, ""headshots"": 0, ""kills"": 0, ""damage"": 36, ""weapon_name"": ""M21A5""}, {""weapon_id"": 86, ""shoots"": 24, ""hits"": 5, ""headshots"": 0, ""kills"": 1, ""damage"": 79, ""weapon_name"": ""CHARGESHOT""}]",True,3,102000020,0,306,0,1,3,0,285,2,0,0,0,19.qluso,3,33,"[{""skill_id"": 1906, ""active_count"": 2, ""skill_name"": ""Thrill of Battle""}]",695,19ESPORT,1,1675546653,0,695,,,,,,,Dinoculars,1,False,False,1,"[{'account_id': '37205862', 'nickname': '6KㅤAŁANㅤ', 'damage': 26, 'damage_type': 28, 'time_ms': 687522}, {'account_id': '1084829318', 'nickname': '19.qluso', 'damage': 4, 'damage_type': -1, 'time_ms': 689700}, {'account_id': '1084829318', 'nickname': '19.qluso', 'damage': 4, 'damage_type': -1, 'time_ms': 690723}, {'account_id': '275618499', 'nickname': '6KㅤFR4Nㅤ〆', 'damage': 61, 'damage_type': 45, 'time_ms': 691482}, {'account_id': '1084829318', 'nickname': '19.qluso', 'damage': 4, 'damage_type': -1, 'time_ms': 691746}, {'account_id': '275618499', 'nickname': '6KㅤFR4Nㅤ〆', 'damage': 61, 'damage_type': 45, 'time_ms': 692472}]",0,0,11
id1621985887171162112,1,106076953,3647.2898,1675546591,0,False,1315000008,195,0,4,7,"[4306, 4806, 2806, 5606]",0,0,0,1,402,309,1,0,"[{""weapon_id"": 34, ""shoots"": 1, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""KATANA""}, {""weapon_id"": 48, ""shoots"": 16, ""hits"": 2, ""headshots"": 0, ""kills"": 0, ""damage"": 123, ""weapon_name"": ""M21A5""}, {""weapon_id"": 88, ""shoots"": 17, ""hits"": 5, ""headshots"": 0, ""kills"": 0, ""damage"": 72, ""weapon_name"": ""MAC10""}]",True,3,102000028,0,306,0,0,3,0,174,0,0,0,0,19.Elitee,3,33,"[{""skill_id"": 5606, ""active_count"": 1, ""skill_name"": ""Wall Brawl""}]",671,19ESPORT,1,1675546653,0,671,,,,,,,Skyline Spree,1,False,False,1,"[{'account_id': '241391535', 'nickname': '6KㅤJohanGi', 'damage': 11, 'damage_type': 121, 'time_ms': 662838}, {'account_id': '241391535', 'nickname': '6KㅤJohanGi', 'damage': 11, 'damage_type': 121, 'time_ms': 662904}, {'account_id': '241391535', 'nickname': '6KㅤJohanGi', 'damage': 11, 'damage_type': 121, 'time_ms': 662970}, {'account_id': '241391535', 'nickname': '6KㅤJohanGi', 'damage': 70, 'damage_type': 121, 'time_ms': 663036}, {'account_id': '241391535', 'nickname': '6KㅤJohanGi', 'damage': 10, 'damage_type': 121, 'time_ms': 663135}, {'account_id': '241391535', 'nickname': '6KㅤJohanGi', 'damage': 11, 'damage_type': 121, 'time_ms': 663168}, {'account_id': '241391535', 'nickname': '6KㅤJohanGi', 'damage': 89, 'damage_type': 121, 'time_ms': 663498}, {'account_id': '241391535', 'nickname': '6KㅤJohanGi', 'damage': 11, 'damage_type': 121, 'time_ms': 663663}, {'account_id': '241391535', 'nickname': '6KㅤJohanGi', 'damage': 12, 'damage_type': 121, 'time_ms': 663729}]",0,67,11
id1621985887171162112,1,668182638,4403.608,1675546591,0,False,1315000011,417,0,4,11,"[3206, 2306, 4806, 2606]",0,0,0,2,402,0,0,0,"[{""weapon_id"": 5, ""shoots"": 12, ""hits"": 6, ""headshots"": 0, ""kills"": 0, ""damage"": 156, ""weapon_name"": ""M1014""}, {""weapon_id"": 1, ""shoots"": 5, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""FIST""}, {""weapon_id"": 48, ""shoots"": 16, ""hits"": 5, ""headshots"": 0, ""kills"": 0, ""damage"": 185, ""weapon_name"": ""M21A5""}, {""weapon_id"": 601, ""shoots"": 0, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 74, ""weapon_name"": ""Grenade""}]",True,3,102000020,0,306,1,0,3,0,696,3,6,0,0,19.Pilassx,3,28,"[{""skill_id"": 2606, ""active_count"": 2, ""skill_name"": ""Painted Refuge""}]",686,19ESPORT,1,1675546653,0,686,,,,,,,Helping Hand,1,False,False,0,"[{'account_id': '668182638', 'nickname': '19.Pilassx', 'damage': 4, 'damage_type': -1, 'time_ms': 677424}, {'account_id': '668182638', 'nickname': '19.Pilassx', 'damage': 4, 'damage_type': -1, 'time_ms': 678447}, {'account_id': '668182638', 'nickname': '19.Pilassx', 'damage': 4, 'damage_type': -1, 'time_ms': 679470}, {'account_id': '387227129', 'nickname': '6KㅤAlexjrㅤM', 'damage': 57, 'damage_type': 48, 'time_ms': 680394}, {'account_id': '668182638', 'nickname': '19.Pilassx', 'damage': 4, 'damage_type': -1, 'time_ms': 680493}, {'account_id': '387227129', 'nickname': '6KㅤAlexjrㅤM', 'damage': 61, 'damage_type': 48, 'time_ms': 680790}, {'account_id': '668182638', 'nickname': '19.Pilassx', 'damage': 4, 'damage_type': -1, 'time_ms': 681516}, {'account_id': '387227129', 'nickname': '6KㅤAlexjrㅤM', 'damage': 57, 'damage_type': 48, 'time_ms': 681582}, {'account_id': '387227129', 'nickname': '6KㅤAlexjrㅤM', 'damage': 61, 'damage_type': 48, 'time_ms': 681978}, {'account_id': '387227129', 'nickname': '6KㅤAlexjrㅤM', 'damage': 63, 'damage_type': 48, 'time_ms': 682374}]",0,0,11
id1621985887171162112,1,89186493,3320.6675,1675546591,0,False,1315000023,80,0,0,3,"[3206, 5506, 2706, 5306]",0,1,0,0,402,0,0,0,"[{""weapon_id"": 28, ""shoots"": 7, ""hits"": 3, ""headshots"": 0, ""kills"": 0, ""damage"": 79, ""weapon_name"": ""XM8""}]",True,3,102000012,0,304,1,0,3,0,228,0,0,0,0,ESG.Jordan23,3,7,[],685,ESG,1,1675546653,0,685,,,,,,,Dinoculars,1,False,False,0,"[{'account_id': '255370730', 'nickname': 'FGㅤNickõ', 'damage': 50, 'damage_type': 48, 'time_ms': 680394}, {'account_id': '255370730', 'nickname': 'FGㅤNickõ', 'damage': 54, 'damage_type': 48, 'time_ms': 680823}, {'account_id': '264681601', 'nickname': 'FG.Pøcho', 'damage': 56, 'damage_type': 89, 'time_ms': 681846}, {'account_id': '264681601', 'nickname': 'FG.Pøcho', 'damage': 98, 'damage_type': 89, 'time_ms': 682374}]",0,0,5
id1621985887171162112,1,165358150,3070.56,1675546591,0,False,1315000011,472,0,0,13,"[2306, 2606, 4806, 3206]",1,1,0,0,402,0,0,0,"[{""weapon_id"": 6, ""shoots"": 16, ""hits"": 2, ""headshots"": 1, ""kills"": 1, ""damage"": 222, ""weapon_name"": ""AK""}, {""weapon_id"": 58, ""shoots"": 16, ""hits"": 9, ""headshots"": 0, ""kills"": 0, ""damage"": 148, ""weapon_name"": ""UZI""}, {""weapon_id"": 47, ""shoots"": 5, ""hits"": 2, ""headshots"": 1, ""kills"": 0, ""damage"": 101, ""weapon_name"": ""PARAFAL""}]",True,3,102000016,0,304,1,1,3,0,72,0,0,2,1,ESG.BardoF,3,37,"[{""skill_id"": 2606, ""active_count"": 1, ""skill_name"": ""Painted Refuge""}]",587,ESG,1,1675546653,0,587,,,,,,,Helping Hand,1,False,False,0,"[{'account_id': '264681601', 'nickname': 'FG.Pøcho', 'damage': 17, 'damage_type': 121, 'time_ms': 583506}, {'account_id': '255370730', 'nickname': 'FGㅤNickõ', 'damage': 11, 'damage_type': 41, 'time_ms': 583539}, {'account_id': '255370730', 'nickname': 'FGㅤNickõ', 'damage': 11, 'damage_type': 41, 'time_ms': 583539}, {'account_id': '255370730', 'nickname': 'FGㅤNickõ', 'damage': 11, 'damage_type': 41, 'time_ms': 583539}, {'account_id': '255370730', 'nickname': 'FGㅤNickõ', 'damage': 11, 'damage_type': 41, 'time_ms': 583539}, {'account_id': '255370730', 'nickname': 'FGㅤNickõ', 'damage': 11, 'damage_type': 41, 'time_ms': 583539}, {'account_id': '255370730', 'nickname': 'FGㅤNickõ', 'damage': 12, 'damage_type': 41, 'time_ms': 583539}, {'account_id': '255370730', 'nickname': 'FGㅤNickõ', 'damage': 11, 'damage_type': 41, 'time_ms': 583539}, {'account_id': '255370730', 'nickname': 'FGㅤNickõ', 'damage': 11, 'damage_type': 41, 'time_ms': 583539}, {'account_id': '255370730', 'nickname': 'FGㅤNickõ', 'damage': 11, 'damage_type': 41, 'time_ms': 583539}, {'account_id': '255370730', 'nickname': 'FGㅤNickõ', 'damage': 12, 'damage_type': 41, 'time_ms': 583539}, {'account_id': '264681601', 'nickname': 'FG.Pøcho', 'damage': 13, 'damage_type': 121, 'time_ms': 584100}, {'account_id': '264681601', 'nickname': 'FG.Pøcho', 'damage': 14, 'damage_type': 121, 'time_ms': 584100}, {'account_id': '264681601', 'nickname': 'FG.Pøcho', 'damage': 15, 'damage_type': 121, 'time_ms': 584100}, {'account_id': '264681601', 'nickname': 'FG.Pøcho', 'damage': 15, 'damage_type': 121, 'time_ms': 584100}, {'account_id': '264681601', 'nickname': 'FG.Pøcho', 'damage': 16, 'damage_type': 121, 'time_ms': 584100}]",0,0,5
id1621985887171162112,1,1691979368,3504.5938,1675546591,0,False,1315000012,247,0,2,10,"[5706, 3206, 1106, 1906]",0,1,0,1,402,303,0,0,"[{""weapon_id"": 46, ""shoots"": 24, ""hits"": 4, ""headshots"": 2, ""kills"": 0, ""damage"": 127, ""weapon_name"": ""AUG""}, {""weapon_id"": 43, ""shoots"": 10, ""hits"": 4, ""headshots"": 0, ""kills"": 0, ""damage"": 37, ""weapon_name"": ""THOMPSON""}, {""weapon_id"": 30, ""shoots"": 8, ""hits"": 2, ""headshots"": 0, ""kills"": 0, ""damage"": 49, ""weapon_name"": ""M60""}]",True,3,102000038,0,0,1,0,3,1,425,0,0,2,0,ESG.CarlxsHG,3,42,"[{""skill_id"": 1906, ""active_count"": 2, ""skill_name"": ""Thrill of Battle""}]",717,ESG,1,1675546653,0,717,,,,,,,Dragon Glare,1,False,False,0,"[{'account_id': '1691979368', 'nickname': 'ESG.CarlxsHG', 'damage': 4, 'damage_type': -1, 'time_ms': 712206}, {'account_id': '1691979368', 'nickname': 'ESG.CarlxsHG', 'damage': 4, 'damage_type': -1, 'time_ms': 713229}, {'account_id': '1691979368', 'nickname': 'ESG.CarlxsHG', 'damage': 4, 'damage_type': -1, 'time_ms': 714252}, {'account_id': '1691979368', 'nickname': 'ESG.CarlxsHG', 'damage': 4, 'damage_type': -1, 'time_ms': 715275}, {'account_id': '1691979368', 'nickname': 'ESG.CarlxsHG', 'damage': 4, 'damage_type': -1, 'time_ms': 716298}, {'account_id': '723638305', 'nickname': 'Jeisson７ㅤiGS', 'damage': 316, 'damage_type': 48, 'time_ms': 716991}]",0,0,5
id1621985887171162112,1,146302793,4749.9785,1675546591,0,False,1315000008,304,0,0,16,"[3806, 806, 4806, 2806]",0,1,0,7,402,309,1,0,"[{""weapon_id"": 33, ""shoots"": 47, ""hits"": 14, ""headshots"": 0, ""kills"": 0, ""damage"": 272, ""weapon_name"": ""AN94""}, {""weapon_id"": 28, ""shoots"": 9, ""hits"": 2, ""headshots"": 0, ""kills"": 0, ""damage"": 28, ""weapon_name"": ""XM8""}]",True,3,102000024,0,306,0,0,3,0,917,0,0,0,0,ESG.TIKI444ㅤ,3,56,[],717,ESG,1,1675546653,0,717,,,,,,,Skyline Spree,1,False,False,3,[],0,0,5
id1621985887171162112,1,10695433,3915.9624,1675546591,0,False,1315000021,285,0,8,3,"[4806, 2806, 606, 3106]",1,2,0,2,403,309,0,3,"[{""weapon_id"": 18, ""shoots"": 5, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""SKS""}, {""weapon_id"": 51, ""shoots"": 1, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""SICKLE""}, {""weapon_id"": 4, ""shoots"": 5, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""AWM""}, {""weapon_id"": 86, ""shoots"": 24, ""hits"": 3, ""headshots"": 3, ""kills"": 1, ""damage"": 285, ""weapon_name"": ""CHARGESHOT""}]",True,3,101000023,0,306,0,1,3,0,352,1,0,3,1,FGㅤSoyDella,3,34,"[{""skill_id"": 3106, ""active_count"": 9, ""skill_name"": ""Tracing Steps""}]",748,FURIOUS GAMING,5,1675546653,0,748,,,,,,,Far-sighted,1,False,False,0,[],0,0,7
id1621985887171162112,1,65662824,3852.3828,1675546591,0,False,1315000008,2235,0,4,14,"[3206, 5506, 606, 4806]",1,2,0,0,403,0,0,1,"[{""weapon_id"": 65, ""shoots"": 10, ""hits"": 4, ""headshots"": 1, ""kills"": 0, ""damage"": 1530, ""weapon_name"": ""GoldAWM""}, {""weapon_id"": 45, ""shoots"": 9, ""hits"": 4, ""headshots"": 1, ""kills"": 1, ""damage"": 473, ""weapon_name"": ""BLT""}, {""weapon_id"": 12, ""shoots"": 13, ""hits"": 6, ""headshots"": 0, ""kills"": 0, ""damage"": 72, ""weapon_name"": ""SCAR""}, {""weapon_id"": 1, ""shoots"": 3, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""FIST""}]",True,3,102000020,0,306,0,1,3,0,124,0,0,2,1,FGㅤBäd.,3,32,"[{""skill_id"": 5506, ""active_count"": 7, ""skill_name"": ""Senses Shockwave""}]",719,FURIOUS GAMING,5,1675546653,0,719,,,,,,,Skyline Spree,1,False,False,0,"[{'account_id': '48389252', 'nickname': 'OQㅤOrellana', 'damage': 39, 'damage_type': 48, 'time_ms': 715638}, {'account_id': '48389252', 'nickname': 'OQㅤOrellana', 'damage': 40, 'damage_type': 48, 'time_ms': 716034}, {'account_id': '48389252', 'nickname': 'OQㅤOrellana', 'damage': 41, 'damage_type': 48, 'time_ms': 716859}, {'account_id': '1161600154', 'nickname': 'OQㅤTota', 'damage': 40, 'damage_type': 47, 'time_ms': 716925}]",3,0,7
